"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"FAM90A9P"	"chr8"	7618852	7621862	"pseudogene"	0	96
"RPL36AP26"	"chr7"	15741057	15741377	"pseudogene"	0	100
"TBCAP2"	"chr1"	15018625	15019109	"pseudogene"	0	99
"SRGAP3-AS4"	"chr3"	9298443	9299191	"lincRNA"	0	99
"BHLHE40-AS1"	"chr3"	4938493	5021646	"antisense"	0	61
"ENSG00000235833"	"chr2"	98140412	98141439	"pseudogene"	0	100
"ENSG00000235837"	"chr7"	16735496	16759523	"antisense"	0	86
"HSP90AB7P"	"chr10"	9763926	9766379	"pseudogene"	0	97
"ENSG00000235843"	"chr10"	27006564	27007707	"antisense"	0	99
"LDHAP7"	"chr2"	85004383	85005347	"pseudogene"	0	100
"RMDN2-AS1"	"chr2"	38177144	38294184	"antisense"	0	41
"HS6ST2-AS1"	"chrX"	131801670	131803916	"antisense"	0	100
"ENSG00000235852"	"chr2"	191745523	191746785	"antisense"	0	100
"CTBP2P1"	"chrY"	59001391	59001635	"pseudogene"	0	100
"ENSG00000235859"	"chr7"	30410987	30412357	"pseudogene"	0	99
"ENSG00000235861"	"chr2"	242058140	242058358	"pseudogene"	0	100
"B3GALT4"	"chr6"	33244917	33252609	"protein_coding"	0	93
"GSN-AS1"	"chr9"	124043046	124047808	"antisense"	0	99
"ENSG00000235869"	"chr1"	174891244	174891577	"pseudogene"	0	100
"ENSG00000235872"	"chr12"	68052771	68064699	"antisense"	0	84
"FEM1AP4"	"chr13"	19239375	19241361	"pseudogene"	0	99
"ENSG00000235878"	"chr21"	47612391	47613673	"protein_coding"	0	100
"FAR1P1"	"chr13"	90823120	90824053	"pseudogene"	0	100
"ENSG00000235880"	"chr9"	267966	273002	"antisense"	0	99
"LINC00941"	"chr12"	30947977	30955645	"lincRNA"	0	88
"ENSG00000235885"	"chr2"	67313578	67523207	"lincRNA"	0	100
"ENSG00000235887"	"chr1"	148852393	148853717	"lincRNA"	0	100
"ENSG00000235888"	"chr21"	40360633	40378079	"lincRNA"	0	95
"TSPEAR-AS1"	"chr21"	45926690	45935738	"antisense"	0	98
"PKMP2"	"chrX"	65717590	65719266	"pseudogene"	0	99
"IGKV3D-7"	"chr2"	90273679	90274235	"IG_V_gene"	0	100
"TM4SF19-AS1"	"chr3"	196045201	196052441	"antisense"	0	96
"CPB2-AS1"	"chr13"	46626941	46687467	"antisense"	0	81
"RBMS3-AS3"	"chr3"	29305685	29332217	"antisense"	0	82
"RHOA-IT1"	"chr3"	49402578	49404439	"sense_intronic"	0	99
"APOA1-AS"	"chr11"	116706833	116726445	"antisense"	0	77
"ENSG00000235912"	"chr1"	27975930	27976121	"pseudogene"	0	100
"ENSG00000235916"	"chrX"	53852385	53852807	"pseudogene"	0	100
"ENSG00000235917"	"chr9"	5098341	5099325	"pseudogene"	0	99
"ASH1L-AS1"	"chr1"	155531821	155533775	"processed_transcript"	0	100
"ENSG00000235920"	"chr7"	11859943	11860920	"pseudogene"	0	99
"NEXN-AS1"	"chr1"	78347033	78355224	"antisense"	0	87
"ENSG00000235932"	"chr9"	69749821	69750173	"pseudogene"	0	100
"ENSG00000235937"	"chr2"	54256689	54257819	"pseudogene"	0	99
"ENSG00000235938"	"chr9"	46113699	46114039	"pseudogene"	0	100
"ZNF815P"	"chr7"	5862791	5894066	"pseudogene"	0	77
"ENSG00000235945"	"chr7"	116513508	116516430	"pseudogene"	0	96
"ENSG00000235946"	"chrX"	103317106	103317601	"pseudogene"	0	100
"EGOT"	"chr3"	4790876	4793274	"lincRNA"	0	97
"DUX4L15"	"chr10"	135496888	135498492	"pseudogene"	0	100
"CICP20"	"chr7"	45855815	45858615	"pseudogene"	0	99
"COX7CP1"	"chr13"	49761615	49761806	"pseudogene"	0	100
"PNMA6C"	"chrX"	152240819	152243399	"protein_coding"	0	99
"ENSG00000235962"	"chr10"	33346543	33347343	"pseudogene"	0	100
"MCCD1P1"	"chr6"	29875560	29876422	"pseudogene"	0	99
"FXYD6P2"	"chr10"	38380692	38380979	"pseudogene"	0	100
"COX5BP3"	"chr7"	133412121	133412487	"pseudogene"	0	100
"VN2R19P"	"chr19"	58523957	58537294	"pseudogene"	0	79
"ENSG00000235981"	"chrY"	26288505	26303990	"pseudogene"	0	98
"ENSG00000235982"	"chr7"	97512594	97513107	"pseudogene"	0	99
"MORC2-AS1"	"chr22"	31318295	31328436	"antisense"	0	92
"ENSG00000235990"	"chr1"	242079425	242079845	"pseudogene"	0	100
"ENSG00000235991"	"chrX"	154365386	154384778	"pseudogene"	0	98
"ENSG00000235994"	"chr6"	168376604	168380456	"lincRNA"	0	99
"ENSG00000235996"	"chr20"	19193496	19194121	"antisense"	0	100
"ENSG00000235997"	"chr2"	30569525	30575297	"lincRNA"	0	96
"ENSG00000235999"	"chr1"	149287451	149291743	"lincRNA"	0	100
"ENSG00000236004"	"chr1"	52655588	52655981	"pseudogene"	0	100
"ENSG00000236005"	"chr9"	110296671	110297443	"pseudogene"	0	100
"ENSG00000236008"	"chr2"	8699963	8723922	"lincRNA"	0	76
"HIGD1AP12"	"chr1"	111922913	111923193	"pseudogene"	0	100
"ENSG00000236015"	"chr7"	39608975	39609797	"pseudogene"	0	99
"ENSG00000236016"	"chr6"	86340080	86340995	"antisense"	0	99
"ASMTL-AS1"	"chrX"	1520662	1532921	"antisense"	0	95
"ENSG00000236018"	"chr7"	156990294	156991205	"pseudogene"	0	99
"ENSG00000236021"	"chr1"	176176784	176198466	"antisense"	0	100
"LINC01036"	"chr1"	187061974	187329455	"lincRNA"	0	100
"ENSG00000236031"	"chr1"	243708834	243711631	"antisense"	0	100
"ENSG00000236035"	"chr1"	203626097	203626888	"pseudogene"	0	100
"ENSG00000236039"	"chr7"	17474101	17500296	"lincRNA"	0	84
"CHIAP1"	"chr1"	111792876	111799337	"pseudogene"	0	88
"COX6CP18"	"chr11"	2792586	2792807	"pseudogene"	0	100
"FABP5P2"	"chr13"	52540878	52541285	"pseudogene"	0	100
"ENSG00000236045"	"chr1"	15660662	15661960	"antisense"	0	96
"ENSG00000236047"	"chr2"	203385124	203385712	"pseudogene"	0	100
"ENSG00000236048"	"chr7"	12510978	12512171	"pseudogene"	0	97
"MYCBP2-AS1"	"chr13"	77649649	77672677	"antisense"	0	96
"ENSG00000236055"	"chr1"	142790583	142791175	"pseudogene"	0	100
"GAPDHP14"	"chr21"	30594642	30595578	"pseudogene"	0	100
"ENSG00000236058"	"chr10"	120631561	120632114	"pseudogene"	0	100
"HSPB1P1"	"chr9"	74622797	74623052	"pseudogene"	0	100
"ENSG00000236064"	"chrX"	107137827	107179210	"antisense"	0	79
"ENSG00000236065"	"chr1"	33452676	33498070	"antisense"	0	53
"ENSG00000236066"	"chr1"	113550876	113589677	"lincRNA"	0	50
"ENSG00000236069"	"chr1"	192498709	192507232	"lincRNA"	0	100
"ENSG00000236073"	"chr1"	21400132	21400246	"pseudogene"	0	99
"ENSG00000236078"	"chr7"	47661537	47669491	"lincRNA"	0	94
"ENSG00000236081"	"chr7"	1778266	1781927	"lincRNA"	0	97
"OR13E1P"	"chr9"	35859059	35859980	"pseudogene"	0	100
"HMGN2P28"	"chr6"	2341684	2341950	"pseudogene"	0	100
"COX10-AS1"	"chr17"	13659795	13972812	"processed_transcript"	0	0
"LDHAP3"	"chr2"	42046887	42047894	"pseudogene"	0	100
"LINC00545"	"chr13"	31456688	31457532	"lincRNA"	0	100
"ENSG00000236095"	"chr9"	97662711	97667036	"sense_intronic"	0	99
"ZBTB22"	"chr6"	33282183	33285719	"protein_coding"	0	96
"ENSG00000236105"	"chr7"	126935674	126936257	"pseudogene"	0	99
"ENSG00000236107"	"chr2"	166813909	167158294	"antisense"	0	100
"ENSG00000236108"	"chr1"	205103774	205104078	"pseudogene"	0	100
"ENSG00000236111"	"chr1"	46246949	46247629	"pseudogene"	0	97
"ENSG00000236114"	"chr10"	44018704	44020665	"pseudogene"	0	99
"ENSG00000236115"	"chr9"	94967638	94972440	"antisense"	0	97
"ENSG00000236119"	"chr21"	37455157	37462712	"lincRNA"	0	97
"HMGN2P23"	"chr2"	113738743	113739011	"pseudogene"	0	100
"USP17L4"	"chr8"	7194637	7196229	"pseudogene"	0	100
"CT47A3"	"chrX"	120106606	120109918	"protein_coding"	0	98
"ENSG00000236132"	"chr22"	32212365	32213477	"pseudogene"	0	100
"ENSG00000236136"	"chr1"	209917718	209918559	"pseudogene"	0	100
"ENSG00000236137"	"chr1"	117568104	117602112	"antisense"	0	46
"ENSG00000236138"	"chr3"	75718082	75719336	"pseudogene"	0	100
"ENSG00000236140"	"chr1"	148246959	148248104	"lincRNA"	0	100
"ENSG00000236144"	"chr19"	36031640	36036931	"antisense"	0	93
"MRPS36P1"	"chr3"	6814724	6815030	"pseudogene"	0	100
"ENSG00000236153"	"chr2"	181844154	181844817	"antisense"	0	100
"ENSG00000236154"	"chr10"	71335563	71336910	"antisense"	0	98
"ENSG00000236155"	"chr1"	26536232	26556331	"pseudogene"	0	79
"ENSG00000236157"	"chr9"	45424050	45424634	"pseudogene"	0	100
"RFC3P1"	"chr3"	36211259	36211940	"pseudogene"	0	100
"ENSG00000236159"	"chr20"	35794177	35794715	"pseudogene"	0	100
"PRADC1P1"	"chr3"	37017807	37018331	"pseudogene"	0	100
"IGHD1-1"	"chr14"	106385361	106385377	"IG_D_gene"	0	100
"ENSG00000236180"	"chr1"	43036641	43037061	"pseudogene"	0	98
"ENSG00000236182"	"chr3"	188707171	188707924	"pseudogene"	0	99
"TCEA1P4"	"chr9"	32979558	32980401	"pseudogene"	0	100
"GJA6P"	"chrX"	18553199	18554240	"pseudogene"	0	100
"PRKX-AS1"	"chrX"	3577528	3586233	"antisense"	0	95
"ENSG00000236193"	"chr2"	214020530	214032436	"lincRNA"	0	100
"ENSG00000236197"	"chr7"	94784025	94843644	"antisense"	0	67
"ENSG00000236198"	"chr2"	84101832	84103457	"pseudogene"	0	100
"ENSG00000236199"	"chr9"	2041900	2046023	"antisense"	0	95
"KDM4A-AS1"	"chr1"	44165436	44173809	"antisense"	0	82
"ENSG00000236204"	"chr2"	19167729	19546509	"lincRNA"	0	2
"ENSG00000236209"	"chr2"	75146682	75151973	"lincRNA"	0	100
"ENSG00000236213"	"chr2"	37827279	37873841	"antisense"	0	61
"PPP1R11P1"	"chr1"	21724480	21724855	"pseudogene"	0	98
"C1DP2"	"chr10"	81791600	81792149	"pseudogene"	0	100
"ENSG00000236226"	"chr7"	102670551	102671801	"antisense"	0	99
"VEZF1P1"	"chr3"	192873245	192874997	"pseudogene"	0	97
"ENSG00000236233"	"chr9"	67792167	67794649	"pseudogene"	0	99
"ENSG00000236234"	"chr17"	43530210	43541431	"antisense"	0	77
"ENSG00000236235"	"chr22"	16680767	16687245	"pseudogene"	0	97
"ENSG00000236238"	"chr7"	131350266	131350617	"pseudogene"	0	100
"ENSG00000236244"	"chr1"	234404329	234408246	"antisense"	0	100
"ENSG00000236247"	"chr9"	40479776	40481177	"pseudogene"	0	99
"GAGE2C"	"chrX"	49226182	49233481	"protein_coding"	0	95
"ENSG00000236252"	"chr9"	70113593	70124467	"pseudogene"	0	97
"SLC25A3P1"	"chr1"	53878821	53905693	"pseudogene"	0	61
"MTND4P14"	"chr9"	5107937	5109290	"pseudogene"	0	99
"ENSG00000236255"	"chr2"	118591513	118599234	"lincRNA"	0	100
"EI24P2"	"chr1"	158423988	158425063	"pseudogene"	0	100
"ENSG00000236259"	"chr2"	68352397	68352879	"pseudogene"	0	100
"RPL26P30"	"chr11"	2356362	2357006	"pseudogene"	0	98
"ENSG00000236266"	"chr1"	7870302	7887402	"antisense"	0	76
"ENSG00000236268"	"chr1"	83439565	83451891	"lincRNA"	0	90
"ENO1-IT1"	"chr1"	8935847	8938066	"sense_intronic"	0	98
"ENSG00000236274"	"chr1"	35975343	35977039	"pseudogene"	0	99
"PEBP1P3"	"chr1"	198648268	198649162	"pseudogene"	0	100
"CLEC2L"	"chr7"	139208602	139229730	"protein_coding"	0	88
"ENSG00000236281"	"chr7"	131438505	131439011	"pseudogene"	0	98
"NPM1P8"	"chrX"	32224019	32224855	"pseudogene"	0	100
"ZBED5"	"chr11"	10833621	10880343	"protein_coding"	0	57
"EEF1GP7"	"chr1"	53038786	53039488	"pseudogene"	0	99
"GUSBP5"	"chr4"	144480625	144570458	"pseudogene"	0	61
"ENSG00000236297"	"chr3"	193296601	193310879	"pseudogene"	0	89
"ENSG00000236299"	"chr7"	63348578	63361113	"lincRNA"	0	93
"ENSG00000236304"	"chr11"	76368100	76374910	"antisense"	0	94
"ENSG00000236305"	"chr7"	100434936	100450238	"antisense"	0	86
"ENSG00000236307"	"chr2"	112645491	112646318	"pseudogene"	0	100
"ENSG00000236308"	"chr10"	101949793	101950504	"antisense"	0	100
"RPL34P34"	"chr19"	22551401	22551754	"pseudogene"	0	100
"ENSG00000236317"	"chr1"	213028517	213028708	"pseudogene"	0	100
"ENSG00000236319"	"chr17"	53604325	53638938	"pseudogene"	0	56
"SLFN14"	"chr17"	33875144	33885117	"protein_coding"	0	83
"ENSG00000236322"	"chr9"	43184068	43189411	"lincRNA"	0	99
"BMP6P1"	"chr22"	22540331	22541009	"pseudogene"	0	100
"ENSG00000236324"	"chr6"	158306146	158313818	"antisense"	0	89
"ENSG00000236325"	"chr22"	17673826	17674198	"pseudogene"	0	99
"ENSG00000236327"	"chr1"	153863071	153863341	"pseudogene"	0	100
"RPL5P9"	"chr2"	111725411	111726296	"pseudogene"	0	100
"ENSG00000236332"	"chr21"	28733483	28768106	"lincRNA"	0	92
"PPIAL4G"	"chr1"	143767144	143767881	"protein_coding"	0	100
"ENSG00000236336"	"chr6"	4774760	4775642	"antisense"	0	99
"FMR1-IT1"	"chrX"	147028461	147029103	"sense_intronic"	0	99
"ENSG00000236340"	"chr7"	126855181	126869975	"antisense"	0	87
"ENSG00000236345"	"chr6"	64516729	64532535	"antisense"	0	92
"PSMC1P10"	"chr2"	17566358	17567684	"pseudogene"	0	99
"SUCLG2P2"	"chr12"	94942017	94943312	"pseudogene"	0	100
"ENSG00000236355"	"chr6"	38681827	38682993	"lincRNA"	0	97
"EI24P1"	"chr3"	175785830	175786696	"pseudogene"	0	100
"OR51B8P"	"chr11"	5351822	5352590	"pseudogene"	0	100
"ENSG00000236360"	"chr1"	53458868	53459374	"pseudogene"	0	98
"ENSG00000236361"	"chr9"	40740776	40742447	"lincRNA"	0	99
"ENSG00000236364"	"chr1"	165865116	165869920	"antisense"	0	100
"CT47A1"	"chrX"	120111460	120119642	"protein_coding"	0	96
"POU5F1P5"	"chr10"	69769962	69770619	"pseudogene"	0	100
"ENSG00000236377"	"chr17"	31232680	31233602	"lincRNA"	0	99
"ENSG00000236378"	"chr6"	136128286	136129604	"lincRNA"	0	99
"LINC00854"	"chr17"	41368960	41383338	"processed_transcript"	0	78
"LINC00479"	"chr21"	43131680	43135935	"lincRNA"	0	100
"ITCH-AS1"	"chr20"	33029397	33029830	"antisense"	0	100
"ENSG00000236391"	"chr2"	174202947	174220936	"pseudogene"	0	100
"ENSG00000236396"	"chr18"	11609544	11610687	"pseudogene"	0	100
"DDX11L2"	"chr2"	114356606	114359144	"pseudogene"	0	100
"TAS2R39"	"chr7"	142880512	142881528	"protein_coding"	0	100
"ENSG00000236404"	"chr9"	2422702	2641395	"antisense"	0	29
"NRADDP"	"chr3"	47053032	47054636	"pseudogene"	0	97
"NDUFAF4P3"	"chr3"	37831412	37831936	"pseudogene"	0	100
"ENSG00000236412"	"chr3"	187719488	187721194	"lincRNA"	0	97
"CTSLP1"	"chr10"	89146442	89149960	"pseudogene"	0	97
"CHCHD3P1"	"chr10"	8661896	8662571	"pseudogene"	0	100
"LINC01134"	"chr1"	3816936	3833789	"lincRNA"	0	71
"ENSG00000236426"	"chr10"	121094006	121095694	"antisense"	0	100
"ENSG00000236427"	"chr1"	152178334	152179533	"lincRNA"	0	100
"KRT8P29"	"chr1"	203841702	203843315	"pseudogene"	0	100
"ENSG00000236431"	"chr2"	96201865	96202243	"pseudogene"	0	100
"ENSG00000236432"	"chr2"	228085768	228189917	"antisense"	0	100
"FAM157A"	"chr3"	197879237	197925886	"lincRNA"	0	68
"ENSG00000236439"	"chr1"	202440937	202441258	"pseudogene"	0	100
"ENSG00000236440"	"chr2"	141440929	141441457	"pseudogene"	0	100
"UBE2L5P"	"chr13"	31002084	31002656	"pseudogene"	0	100
"CT47B1"	"chrX"	120006457	120009779	"protein_coding"	0	99
"ATG10-IT1"	"chr5"	81287814	81288300	"sense_intronic"	0	100
"ENSG00000236450"	"chr9"	46669135	46669441	"pseudogene"	0	100
"ENSG00000236453"	"chr7"	93652145	93695973	"lincRNA"	0	66
"ENSG00000236456"	"chr20"	32833759	32834343	"pseudogene"	0	99
"ENSG00000236457"	"chr17"	2118776	2119309	"sense_intronic"	0	100
"HNRNPA1P22"	"chr3"	42930853	42931798	"pseudogene"	0	98
"ENSG00000236461"	"chr9"	117881818	117900688	"lincRNA"	0	92
"LINC00427"	"chr13"	30890497	30894040	"lincRNA"	0	100
"ENSG00000236466"	"chr6"	46459789	46500495	"antisense"	0	58
"ENSG00000236467"	"chr10"	78647802	78740382	"antisense"	0	66
"ENSG00000236469"	"chr2"	71229661	71291873	"antisense"	0	100
"ENSG00000236472"	"chr17"	48212951	48223541	"antisense"	0	85
"GCNT1P1"	"chr20"	18400804	18402098	"pseudogene"	0	100
"TRIM26BP"	"chr6"	30206078	30210056	"pseudogene"	0	97
"ENSG00000236478"	"chr2"	217039619	217040755	"pseudogene"	0	100
"PKMP1"	"chr1"	115078616	115080461	"pseudogene"	0	91
"ENSG00000236481"	"chr16"	26596076	26606134	"lincRNA"	0	82
"ENSG00000236483"	"chr19"	12613489	12614920	"pseudogene"	0	99
"RRM2P2"	"chr1"	161348497	161349148	"pseudogene"	0	100
"ENSG00000236489"	"chr3"	185324363	185324661	"pseudogene"	0	100
"ENSG00000236491"	"chrX"	134314179	134328610	"pseudogene"	0	96
"EIF2S2P3"	"chr10"	94428502	94429500	"pseudogene"	0	100
"ENSG00000236494"	"chr7"	33832780	33842768	"lincRNA"	0	93
"ENSG00000236496"	"chr9"	2875442	2876427	"pseudogene"	0	99
"LINC00896"	"chr22"	20193920	20196047	"lincRNA"	0	99
"ENSG00000236500"	"chr1"	15941138	15941362	"pseudogene"	0	100
"ENSG00000236503"	"chr7"	135947306	135947765	"pseudogene"	0	100
"ENSG00000236504"	"chr17"	20550600	20585112	"pseudogene"	0	55
"ENSG00000236505"	"chr1"	41029206	41029331	"pseudogene"	0	99
"ENSG00000236512"	"chr6"	7620655	7621111	"pseudogene"	0	99
"ENSG00000236514"	"chr10"	38146668	38148038	"antisense"	0	99
"ENSG00000236519"	"chr21"	46222492	46224632	"antisense"	0	100
"NPAP1P4"	"chr9"	82971944	82975253	"pseudogene"	0	96
"NPM1P40"	"chr1"	203224871	203225603	"pseudogene"	0	100
"ENSG00000236525"	"chr2"	103050417	103051800	"sense_intronic"	0	100
"ENSG00000236526"	"chr20"	11890052	11899325	"antisense"	0	99
"ENSG00000236528"	"chr1"	26186104	26189911	"antisense"	0	94
"ENSG00000236530"	"chr4"	81000686	81002276	"pseudogene"	0	99
"ENSG00000236532"	"chr21"	29488413	29600986	"lincRNA"	0	77
"ENSG00000236533"	"chr2"	42077343	42077741	"pseudogene"	0	100
"H3F3BP1"	"chr13"	72249199	72249601	"pseudogene"	0	100
"RC3H1-IT1"	"chr1"	173978405	173985344	"sense_intronic"	0	100
"ENSG00000236537"	"chr6"	158703295	158733390	"lincRNA"	0	62
"HNRNPA1P54"	"chr1"	179416737	179426450	"pseudogene"	0	100
"ENSG00000236540"	"chr22"	20050503	20058066	"antisense"	0	95
"MED28P7"	"chr20"	25650493	25651022	"pseudogene"	0	100
"ENSG00000236545"	"chr21"	43290742	43292163	"antisense"	0	100
"ENSG00000236546"	"chr1"	40363417	40364770	"antisense"	0	98
"ENSG00000236548"	"chr6"	125230239	125284185	"antisense"	0	53
"ENSG00000236549"	"chr2"	48110594	48111048	"pseudogene"	0	100
"ENSG00000236550"	"chr20"	1657308	1657553	"pseudogene"	0	100
"RPL13AP5"	"chr10"	98510045	98510675	"pseudogene"	0	99
"ENSG00000236558"	"chr2"	47713153	47715691	"antisense"	0	97
"ENSG00000236559"	"chr20"	30274019	30304628	"antisense"	0	92
"ENSG00000236562"	"chr4"	66959844	66960244	"pseudogene"	0	100
"YWHAQP5"	"chr2"	99310572	99311953	"pseudogene"	0	100
"HNRNPA3P5"	"chr13"	66362064	66362896	"pseudogene"	0	100
"ENSG00000236567"	"chr9"	5110913	5112849	"pseudogene"	0	98
"RAD23BP1"	"chr3"	18580165	18581391	"pseudogene"	0	98
"ENSG00000236572"	"chr2"	37971476	37974189	"lincRNA"	0	99
"ENSG00000236576"	"chrX"	51600064	51601162	"pseudogene"	0	98
"SNRPGP14"	"chr13"	50063106	50063500	"pseudogene"	0	100
"STARD13-AS"	"chr13"	33845516	33855471	"processed_transcript"	0	97
"PRPF38AP2"	"chr10"	17619361	17620211	"pseudogene"	0	99
"ENSG00000236583"	"chr8"	100245276	100246687	"pseudogene"	0	99
"ENSG00000236591"	"chr6"	149348836	149353709	"antisense"	0	94
"ENSG00000236596"	"chr2"	104110699	104112300	"pseudogene"	0	100
"RANP1"	"chr6"	30453717	30454367	"pseudogene"	0	100
"ENSG00000236605"	"chr2"	67551759	67552436	"lincRNA"	0	100
"ENSG00000236607"	"chr11"	61936765	61937300	"pseudogene"	0	99
"EIF4A1P6"	"chr13"	61211022	61212231	"pseudogene"	0	100
"ZNF853"	"chr7"	6655248	6663921	"protein_coding"	0	94
"ENSG00000236611"	"chr22"	23668803	23670680	"lincRNA"	0	100
"ENSG00000236617"	"chr12"	133464428	133465169	"antisense"	0	100
"PITPNA-AS1"	"chr17"	1420225	1421390	"antisense"	0	99
"CCDC163P"	"chr1"	45959538	45965751	"protein_coding"	0	88
"ENSG00000236636"	"chr1"	227452477	227452908	"pseudogene"	0	100
"ENSG00000236641"	"chr22"	25608709	25609652	"lincRNA"	0	100
"ENSG00000236643"	"chr9"	127532402	127535206	"antisense"	0	100
"LAMTOR5P1"	"chr1"	62504514	62504783	"pseudogene"	0	99
"ENSG00000236654"	"chr7"	23520372	23520578	"pseudogene"	0	100
"ENSG00000236655"	"chr2"	127069043	127069504	"pseudogene"	0	100
"FAM90A7P"	"chr8"	7414222	7417234	"pseudogene"	0	99
"ENSG00000236662"	"chr10"	102740264	102745371	"antisense"	0	99
"ENSG00000236663"	"chr21"	44560633	44561202	"antisense"	0	100
"ENSG00000236665"	"chr2"	1153996	1156110	"antisense"	0	100
"KRT18P5"	"chr22"	20837102	20838392	"pseudogene"	0	100
"ENSG00000236673"	"chr6"	132223103	132241705	"lincRNA"	0	76
"ENSG00000236674"	"chr1"	63825494	63826850	"pseudogene"	0	97
"MTX1P1"	"chr1"	155200766	155204116	"pseudogene"	0	100
"ENSG00000236677"	"chr21"	37432730	37436706	"antisense"	0	97
"ENSG00000236679"	"chr1"	470971	471355	"pseudogene"	0	100
"ENSG00000236680"	"chr9"	19026890	19028127	"pseudogene"	0	99
"ENSG00000236682"	"chr2"	128146706	128158156	"lincRNA"	0	100
"HMGA1P1"	"chrX"	26766146	26767207	"pseudogene"	0	98
"BZW1P1"	"chr3"	172143640	172144879	"pseudogene"	0	100
"ENSG00000236687"	"chr9"	134691579	134696375	"lincRNA"	0	98
"ENSG00000236689"	"chr1"	94392171	94393125	"pseudogene"	0	98
"EIF1AXP1"	"chr1"	17012116	17012550	"pseudogene"	0	100
"LINC01010"	"chr6"	134758854	134825719	"lincRNA"	0	40
"ENSG00000236701"	"chr9"	76263744	76264755	"pseudogene"	0	97
"MYB-AS1"	"chr6"	135516221	135517133	"antisense"	0	98
"DAPK1-IT1"	"chr9"	90168369	90169374	"sense_intronic"	0	100
"ENSG00000236710"	"chr11"	3105623	3106673	"pseudogene"	0	99
"SMAD9-AS1"	"chr13"	37423503	37424183	"sense_intronic"	0	100
"ENSG00000236712"	"chr7"	7333139	7333511	"pseudogene"	0	100
"ENSG00000236714"	"chr5"	142125165	142140563	"lincRNA"	0	93
"ENSG00000236722"	"chr3"	58497037	58497403	"pseudogene"	0	99
"ENSG00000236724"	"chr9"	3875584	3878809	"antisense"	0	99
"ENSG00000236732"	"chr3"	32192575	32193387	"pseudogene"	0	100
"ENSG00000236733"	"chr9"	71437319	71458191	"antisense"	0	90
"GRIFIN"	"chr7"	2514360	2516528	"processed_transcript"	0	100
"RPL31P63"	"chrX"	67819926	67820315	"pseudogene"	0	100
"UQCRC2P1"	"chr3"	46352082	46353413	"pseudogene"	0	98
"GAGE12B"	"chrX"	49294472	49294588	"protein_coding"	0	100
"ENSG00000236739"	"chr9"	22747699	22748233	"pseudogene"	0	100
"ENSG00000236741"	"chr1"	171731214	171731664	"pseudogene"	0	100
"ENSG00000236743"	"chr1"	459656	461954	"lincRNA"	0	99
"YRDCP2"	"chr9"	99717102	99717743	"pseudogene"	0	100
"MKLN1-AS"	"chr7"	130994503	131012981	"processed_transcript"	0	89
"ENSG00000236754"	"chr22"	18062923	18071958	"antisense"	0	95
"ENSG00000236757"	"chr2"	103489798	103512180	"lincRNA"	0	100
"CTAGE9"	"chr6"	132029581	132032206	"protein_coding"	0	94
"ENSG00000236762"	"chr10"	122892604	122893237	"pseudogene"	0	100
"COX7A2P2"	"chr4"	97823952	97824201	"pseudogene"	0	100
"ENSG00000236768"	"chr3"	48162159	48162705	"pseudogene"	0	97
"ENSG00000236772"	"chr20"	31037558	31041410	"antisense"	0	100
"ENSG00000236773"	"chr1"	224363178	224363408	"pseudogene"	0	100
"ENSG00000236775"	"chr1"	247178370	247180593	"pseudogene"	0	100
"INTS6-AS1"	"chr13"	52026503	52126500	"antisense"	0	77
"ENSG00000236779"	"chr1"	204497973	204498820	"pseudogene"	0	100
"ENSG00000236780"	"chr2"	67350489	67442451	"lincRNA"	0	100
"ENSG00000236782"	"chr1"	26496438	26498312	"antisense"	0	95
"ENSG00000236785"	"chr2"	103027703	103028568	"pseudogene"	0	100
"ENSG00000236787"	"chr10"	51339438	51339770	"pseudogene"	0	100
"LINC00299"	"chr2"	8147901	8523751	"lincRNA"	0	3
"OR2AI1P"	"chr5"	180119832	180120763	"pseudogene"	0	100
"ENSG00000236792"	"chr1"	192216635	192217077	"pseudogene"	0	100
"BCRP8"	"chr22"	23522058	23522465	"pseudogene"	0	100
"ENSG00000236796"	"chr9"	32836573	32869593	"pseudogene"	0	82
"SPA17P1"	"chr10"	77142151	77142602	"pseudogene"	0	100
"ENSG00000236799"	"chr10"	116754416	116756352	"lincRNA"	0	99
"ENSG00000236800"	"chr10"	49872244	49880469	"lincRNA"	0	97
"RPL24P8"	"chr9"	72832111	72832584	"pseudogene"	0	99
"SDAD1P4"	"chr13"	23841645	23843289	"pseudogene"	0	99
"RPS3AP12"	"chr1"	119669162	119669914	"pseudogene"	0	98
"ENSG00000236806"	"chr1"	146695146	146695940	"pseudogene"	0	100
"SNX25P1"	"chr1"	211590367	211591276	"pseudogene"	0	100
"GAPDHP2"	"chr20"	13373324	13374321	"pseudogene"	0	100
"BTF3P8"	"chrX"	62986755	62987280	"pseudogene"	0	100
"ENSG00000236814"	"chr8"	56962597	56963766	"pseudogene"	0	100
"ANKRD20A7P"	"chr9"	44076368	44118444	"pseudogene"	0	86
"ARL5AP2"	"chr10"	100772860	100773709	"pseudogene"	0	99
"ENSG00000236819"	"chr17"	20978869	20993928	"lincRNA"	0	79
"BCYRN1"	"chr2"	47558199	47571656	"lincRNA"	0	92
"ENSG00000236829"	"chr16"	432097	442960	"pseudogene"	0	86
